"workouts - Comprehensive Data Analysis"
"Generated on: 25/9/2025, 10:46:07 pm"
"Topic: workouts"

"=== SHEET: MAIN DATA ==="
"ID","Item/Category","Description","Value/Amount","Date","Status","Priority"
"1","Gym Membership","Planet Fitness Membership","35.99","2024-01-15","Active","High"
"2","Running Shoes","New Nike Pegasus","129.99","2024-02-20","Purchased","High"
"3","Workout Class","Spin Class (60 min)","20","2024-03-05","Completed","Medium"
"4","Gym Session","Weight Training","0","2024-03-10","Completed","High"
"5","Protein Powder","Whey Protein (2 lbs)","45","2024-03-15","Purchased","Medium"
"6","Yoga Mat","Manduka PRO","100","2024-04-01","Purchased","High"
"7","Workout Class","Yoga (90 min)","25","2024-04-10","Completed","Medium"
"8","Gym Session","Cardio & Weights","0","2024-04-15","Completed","High"
"9","Running Gear","Moisture-wicking shirt","30","2024-04-22","Purchased","Medium"
"10","Personal Trainer","1-hour session","75","2024-05-01","Completed","High"
"11","Gym Session","Full Body Workout","0","2024-05-08","Completed","High"
"12","Workout Supplement","Creatine Monohydrate","20","2024-05-15","Purchased","Medium"
"13","Workout Class","Zumba (60 min)","15","2024-05-20","Completed","Medium"
"14","Gym Session","Focus on Legs","0","2024-05-25","Completed","High"
"15","Nutrition Plan","Personalized Meal Plan","150","2024-06-01","Purchased","High"
"16","Massage Therapy","Post-workout recovery","80","2024-06-10","Completed","Medium"


"=== SHEET: SUMMARY STATISTICS ==="
"Category","Count","Total Value","Average Value","Percentage","Trend"
"Gym Membership","1","35.99","35.99","4.6","Stable"
"Running Shoes","1","129.99","129.99","16.6","Stable"
"Workout Class","3","55","18.33","7","Stable"
"Gym Session","4","0","0","0","Stable"
"Protein Powder","1","45","45","5.7","Stable"
"Yoga Mat","1","100","100","12.8","Stable"
"Running Gear","1","30","30","3.8","Stable"
"Personal Trainer","1","75","75","9.6","Stable"
"Workout Supplement","1","20","20","2.6","Stable"
"Nutrition Plan","1","150","150","19.2","Stable"
"Massage Therapy","1","80","80","10.2","Stable"


"=== SHEET: MONTHLY BREAKDOWN ==="
"Month","Q1","Q2","Q3","Q4","Total","Growth %"
"January","35.99","0","0","0","35.99","0"
"February","129.99","0","0","0","129.99","261.2"
"March","65","0","0","0","65","50"
"April","150","0","0","0","150","130.8"
"May","125","0","0","0","125","83.3"
"June","80","0","0","0","80","64"
"July","0","0","0","0","0","0"
"August","0","0","0","0","0","0"
"September","0","0","0","0","0","0"
"October","0","0","0","0","0","0"
"November","0","0","0","0","0","0"
"December","0","0","0","0","0","0"


